county_fips,year,complete_count,public_status,public_lower,public_upper
13275,2021,7,suppressed_1_9,1,9
13275,2022,3,suppressed_1_9,1,9
13275,2023,4,suppressed_1_9,1,9
13275,2024,2,suppressed_1_9,1,9
13293,2019,5,suppressed_1_9,1,9
13293,2020,0,zero,0,0
13293,2021,1,suppressed_1_9,1,9
13293,2022,3,suppressed_1_9,1,9
13293,2023,1,suppressed_1_9,1,9
13293,2024,2,suppressed_1_9,1,9
20007,2019,0,zero,0,0
20007,2020,0,zero,0,0
20007,2021,0,zero,0,0
20007,2022,0,zero,0,0
20007,2023,0,zero,0,0
20007,2024,0,zero,0,0
20017,2019,0,zero,0,0
20017,2020,0,zero,0,0
20017,2021,1,suppressed_1_9,1,9
20017,2022,0,zero,0,0
20017,2023,0,zero,0,0
20017,2024,0,zero,0,0
20027,2019,0,zero,0,0
20027,2020,0,zero,0,0
20027,2021,0,zero,0,0
20027,2022,0,zero,0,0
20027,2023,2,suppressed_1_9,1,9
20027,2024,1,suppressed_1_9,1,9
20071,2019,1,suppressed_1_9,1,9
20071,2020,0,zero,0,0
20071,2021,0,zero,0,0
20071,2022,0,zero,0,0
20071,2023,0,zero,0,0
20071,2024,0,zero,0,0
20079,2019,2,suppressed_1_9,1,9
20079,2020,1,suppressed_1_9,1,9
20079,2021,1,suppressed_1_9,1,9
20079,2022,2,suppressed_1_9,1,9
20079,2023,2,suppressed_1_9,1,9
20079,2024,2,suppressed_1_9,1,9
20091,2019,7,suppressed_1_9,1,9
20091,2020,26,exact,26,26
20091,2021,25,exact,25,25
20091,2022,27,exact,27,27
20091,2023,25,exact,25,25
20091,2024,26,exact,26,26
20103,2019,1,suppressed_1_9,1,9
20103,2020,1,suppressed_1_9,1,9
20103,2021,5,suppressed_1_9,1,9
20103,2022,1,suppressed_1_9,1,9
20103,2023,2,suppressed_1_9,1,9
20103,2024,2,suppressed_1_9,1,9
20117,2019,0,zero,0,0
20117,2020,0,zero,0,0
20117,2021,0,zero,0,0
20117,2022,0,zero,0,0
20117,2023,0,zero,0,0
20117,2024,1,suppressed_1_9,1,9
20139,2019,0,zero,0,0
20139,2020,0,zero,0,0
20139,2021,1,suppressed_1_9,1,9
20139,2022,0,zero,0,0
20139,2023,1,suppressed_1_9,1,9
20139,2024,0,zero,0,0
20143,2019,0,zero,0,0
20143,2020,0,zero,0,0
20143,2021,1,suppressed_1_9,1,9
20143,2022,0,zero,0,0
20143,2023,0,zero,0,0
20143,2024,0,zero,0,0
20149,2019,0,zero,0,0
20149,2020,1,suppressed_1_9,1,9
20149,2021,1,suppressed_1_9,1,9
20149,2022,0,zero,0,0
20149,2023,1,suppressed_1_9,1,9
20149,2024,1,suppressed_1_9,1,9
20183,2019,0,zero,0,0
20183,2020,0,zero,0,0
20183,2021,0,zero,0,0
20183,2022,0,zero,0,0
20183,2023,1,suppressed_1_9,1,9
20183,2024,0,zero,0,0
21033,2019,0,zero,0,0
21033,2020,1,suppressed_1_9,1,9
21033,2021,0,zero,0,0
21033,2022,1,suppressed_1_9,1,9
21033,2023,0,zero,0,0
21033,2024,0,zero,0,0
21091,2019,0,zero,0,0
21091,2020,0,zero,0,0
21091,2021,0,zero,0,0
21091,2022,0,zero,0,0
21091,2023,0,zero,0,0
21091,2024,1,suppressed_1_9,1,9
21103,2019,1,suppressed_1_9,1,9
21103,2020,0,zero,0,0
21103,2021,0,zero,0,0
21103,2022,0,zero,0,0
21103,2023,2,suppressed_1_9,1,9
21103,2024,1,suppressed_1_9,1,9
21111,2019,34,exact,34,34
21111,2020,59,exact,59,59
21111,2021,36,exact,36,36
21111,2022,31,exact,31,31
21111,2023,14,exact,14,14
21111,2024,40,exact,40,40
21115,2019,2,suppressed_1_9,1,9
21115,2020,0,zero,0,0
21115,2021,2,suppressed_1_9,1,9
21115,2022,1,suppressed_1_9,1,9
21115,2023,3,suppressed_1_9,1,9
21115,2024,0,zero,0,0
21121,2019,0,zero,0,0
21121,2020,2,suppressed_1_9,1,9
21121,2021,3,suppressed_1_9,1,9
21121,2022,6,suppressed_1_9,1,9
21121,2023,1,suppressed_1_9,1,9
21121,2024,2,suppressed_1_9,1,9
21161,2019,0,zero,0,0
21161,2020,0,zero,0,0
21161,2021,1,suppressed_1_9,1,9
21161,2022,0,zero,0,0
21161,2023,1,suppressed_1_9,1,9
21161,2024,3,suppressed_1_9,1,9
21179,2019,1,suppressed_1_9,1,9
21179,2020,2,suppressed_1_9,1,9
21179,2021,2,suppressed_1_9,1,9
21179,2022,2,suppressed_1_9,1,9
21179,2023,4,suppressed_1_9,1,9
21179,2024,1,suppressed_1_9,1,9
21195,2019,5,suppressed_1_9,1,9
21195,2020,5,suppressed_1_9,1,9
21195,2021,3,suppressed_1_9,1,9
21195,2022,5,suppressed_1_9,1,9
21195,2023,2,suppressed_1_9,1,9
21195,2024,7,suppressed_1_9,1,9
21201,2019,2,suppressed_1_9,1,9
21201,2020,1,suppressed_1_9,1,9
21201,2021,1,suppressed_1_9,1,9
21201,2022,0,zero,0,0
21201,2023,0,zero,0,0
21201,2024,0,zero,0,0
21207,2019,0,zero,0,0
21207,2020,0,zero,0,0
21207,2021,4,suppressed_1_9,1,9
21207,2022,0,zero,0,0
21207,2023,1,suppressed_1_9,1,9
21207,2024,0,zero,0,0
21239,2019,1,suppressed_1_9,1,9
21239,2020,1,suppressed_1_9,1,9
21239,2021,0,zero,0,0
21239,2022,2,suppressed_1_9,1,9
21239,2023,3,suppressed_1_9,1,9
21239,2024,3,suppressed_1_9,1,9
29009,2019,3,suppressed_1_9,1,9
29009,2020,1,suppressed_1_9,1,9
29009,2021,3,suppressed_1_9,1,9
29009,2022,2,suppressed_1_9,1,9
29009,2023,2,suppressed_1_9,1,9
29009,2024,2,suppressed_1_9,1,9
29057,2019,1,suppressed_1_9,1,9
29057,2020,0,zero,0,0
29057,2021,0,zero,0,0
29057,2022,1,suppressed_1_9,1,9
29057,2023,0,zero,0,0
29057,2024,1,suppressed_1_9,1,9
29113,2019,2,suppressed_1_9,1,9
29113,2020,0,zero,0,0
29113,2021,2,suppressed_1_9,1,9
29113,2022,0,zero,0,0
29113,2023,1,suppressed_1_9,1,9
29113,2024,2,suppressed_1_9,1,9
29121,2019,0,zero,0,0
29121,2020,0,zero,0,0
29121,2021,2,suppressed_1_9,1,9
29121,2022,1,suppressed_1_9,1,9
29121,2023,0,zero,0,0
29121,2024,1,suppressed_1_9,1,9
29165,2019,6,suppressed_1_9,1,9
29165,2020,1,suppressed_1_9,1,9
29165,2021,6,suppressed_1_9,1,9
29165,2022,3,suppressed_1_9,1,9
29165,2023,3,suppressed_1_9,1,9
29165,2024,2,suppressed_1_9,1,9
29173,2019,0,zero,0,0
29173,2020,0,zero,0,0
29173,2021,0,zero,0,0
29173,2022,0,zero,0,0
29173,2023,2,suppressed_1_9,1,9
29173,2024,0,zero,0,0
29189,2019,15,exact,15,15
29189,2020,32,exact,32,32
29189,2021,44,exact,44,44
29189,2022,37,exact,37,37
29189,2023,43,exact,43,43
29189,2024,31,exact,31,31
29195,2019,1,suppressed_1_9,1,9
29195,2020,1,suppressed_1_9,1,9
29195,2021,1,suppressed_1_9,1,9
29195,2022,1,suppressed_1_9,1,9
29195,2023,2,suppressed_1_9,1,9
29195,2024,1,suppressed_1_9,1,9
29217,2019,0,zero,0,0
29217,2020,2,suppressed_1_9,1,9
29217,2021,2,suppressed_1_9,1,9
29217,2022,0,zero,0,0
29217,2023,3,suppressed_1_9,1,9
29217,2024,2,suppressed_1_9,1,9
29223,2019,1,suppressed_1_9,1,9
29223,2020,0,zero,0,0
29223,2021,0,zero,0,0
29223,2022,0,zero,0,0
29223,2023,2,suppressed_1_9,1,9
29223,2024,2,suppressed_1_9,1,9
29225,2019,5,suppressed_1_9,1,9
29225,2020,1,suppressed_1_9,1,9
29225,2021,1,suppressed_1_9,1,9
29225,2022,2,suppressed_1_9,1,9
29225,2023,2,suppressed_1_9,1,9
29225,2024,4,suppressed_1_9,1,9
29227,2019,0,zero,0,0
29227,2020,0,zero,0,0
29227,2021,0,zero,0,0
29227,2022,0,zero,0,0
29227,2023,0,zero,0,0
29227,2024,0,zero,0,0
48047,2019,0,zero,0,0
48047,2020,0,zero,0,0
48047,2021,1,suppressed_1_9,1,9
48047,2022,1,suppressed_1_9,1,9
48047,2023,0,zero,0,0
48047,2024,1,suppressed_1_9,1,9
48069,2019,0,zero,0,0
48069,2020,0,zero,0,0
48069,2021,0,zero,0,0
48069,2022,0,zero,0,0
48069,2023,0,zero,0,0
48069,2024,0,zero,0,0
48091,2019,2,suppressed_1_9,1,9
48091,2020,6,suppressed_1_9,1,9
48091,2021,10,exact,10,10
48091,2022,3,suppressed_1_9,1,9
48091,2023,14,exact,14,14
48091,2024,7,suppressed_1_9,1,9
48093,2019,0,zero,0,0
48093,2020,1,suppressed_1_9,1,9
48093,2021,0,zero,0,0
48093,2022,1,suppressed_1_9,1,9
48093,2023,0,zero,0,0
48093,2024,2,suppressed_1_9,1,9
48201,2019,212,exact,212,212
48201,2020,198,exact,198,198
48201,2021,293,exact,293,293
48201,2022,220,exact,220,220
48201,2023,261,exact,261,261
48201,2024,268,exact,268,268
48203,2019,6,suppressed_1_9,1,9
48203,2020,2,suppressed_1_9,1,9
48203,2021,3,suppressed_1_9,1,9
48203,2022,2,suppressed_1_9,1,9
48203,2023,13,exact,13,13
48203,2024,6,suppressed_1_9,1,9
48225,2019,1,suppressed_1_9,1,9
48225,2020,4,suppressed_1_9,1,9
48225,2021,2,suppressed_1_9,1,9
48225,2022,0,zero,0,0
48225,2023,0,zero,0,0
48225,2024,1,suppressed_1_9,1,9
48289,2019,0,zero,0,0
48289,2020,0,zero,0,0
48289,2021,2,suppressed_1_9,1,9
48289,2022,1,suppressed_1_9,1,9
48289,2023,0,zero,0,0
48289,2024,2,suppressed_1_9,1,9
48301,2019,0,zero,0,0
48301,2020,0,zero,0,0
48301,2021,0,zero,0,0
48301,2022,0,zero,0,0
48301,2023,0,zero,0,0
48301,2024,0,zero,0,0
48397,2019,3,suppressed_1_9,1,9
48397,2020,2,suppressed_1_9,1,9
48397,2021,5,suppressed_1_9,1,9
48397,2022,12,exact,12,12
48397,2023,6,suppressed_1_9,1,9
48397,2024,2,suppressed_1_9,1,9
48461,2019,1,suppressed_1_9,1,9
48461,2020,0,zero,0,0
48461,2021,0,zero,0,0
48461,2022,0,zero,0,0
48461,2023,0,zero,0,0
48461,2024,0,zero,0,0
48465,2019,1,suppressed_1_9,1,9
48465,2020,2,suppressed_1_9,1,9
48465,2021,3,suppressed_1_9,1,9
48465,2022,0,zero,0,0
48465,2023,1,suppressed_1_9,1,9
48465,2024,2,suppressed_1_9,1,9
51029,2019,1,suppressed_1_9,1,9
51029,2020,2,suppressed_1_9,1,9
51029,2021,0,zero,0,0
51029,2022,1,suppressed_1_9,1,9
51029,2023,1,suppressed_1_9,1,9
51029,2024,0,zero,0,0
51057,2019,0,zero,0,0
51057,2020,0,zero,0,0
51057,2021,3,suppressed_1_9,1,9
51057,2022,0,zero,0,0
51057,2023,0,zero,0,0
51057,2024,0,zero,0,0
51059,2019,34,exact,34,34
51059,2020,34,exact,34,34
51059,2021,24,exact,24,24
51059,2022,32,exact,32,32
51059,2023,21,exact,21,21
51059,2024,41,exact,41,41
51077,2019,0,zero,0,0
51077,2020,0,zero,0,0
51077,2021,1,suppressed_1_9,1,9
51077,2022,1,suppressed_1_9,1,9
51077,2023,0,zero,0,0
51077,2024,1,suppressed_1_9,1,9
51091,2019,0,zero,0,0
51091,2020,0,zero,0,0
51091,2021,2,suppressed_1_9,1,9
51091,2022,0,zero,0,0
51091,2023,0,zero,0,0
51091,2024,0,zero,0,0
51117,2019,2,suppressed_1_9,1,9
51117,2020,5,suppressed_1_9,1,9
51117,2021,0,zero,0,0
51117,2022,1,suppressed_1_9,1,9
51117,2023,7,suppressed_1_9,1,9
51117,2024,2,suppressed_1_9,1,9
51155,2019,2,suppressed_1_9,1,9
51155,2020,0,zero,0,0
51155,2021,0,zero,0,0
51155,2022,1,suppressed_1_9,1,9
51155,2023,1,suppressed_1_9,1,9
51155,2024,1,suppressed_1_9,1,9
51163,2019,0,zero,0,0
51163,2020,3,suppressed_1_9,1,9
51163,2021,0,zero,0,0
51163,2022,0,zero,0,0
51163,2023,1,suppressed_1_9,1,9
51163,2024,3,suppressed_1_9,1,9
51187,2019,1,suppressed_1_9,1,9
51187,2020,2,suppressed_1_9,1,9
51187,2021,4,suppressed_1_9,1,9
51187,2022,1,suppressed_1_9,1,9
51187,2023,1,suppressed_1_9,1,9
51187,2024,1,suppressed_1_9,1,9
51540,2019,4,suppressed_1_9,1,9
51540,2020,0,zero,0,0
51540,2021,0,zero,0,0
51540,2022,3,suppressed_1_9,1,9
51540,2023,3,suppressed_1_9,1,9
51540,2024,2,suppressed_1_9,1,9
51770,2019,4,suppressed_1_9,1,9
51770,2020,5,suppressed_1_9,1,9
51770,2021,5,suppressed_1_9,1,9
51770,2022,12,exact,12,12
51770,2023,5,suppressed_1_9,1,9
51770,2024,9,suppressed_1_9,1,9
51830,2019,1,suppressed_1_9,1,9
51830,2020,1,suppressed_1_9,1,9
51830,2021,0,zero,0,0
51830,2022,0,zero,0,0
51830,2023,0,zero,0,0
51830,2024,2,suppressed_1_9,1,9
