table,urbanization,age_group,death_count_status,rows,lower,upper
age group by urbanization,Micropolitan (Nonmetro),45-54 years,exact,1,615.0,615.0
age group by urbanization,Micropolitan (Nonmetro),5-14 years,exact,1,138.0,138.0
age group by urbanization,Micropolitan (Nonmetro),55-64 years,exact,1,1155.0,1155.0
age group by urbanization,Micropolitan (Nonmetro),65-74 years,exact,1,1364.0,1364.0
age group by urbanization,Micropolitan (Nonmetro),75-84 years,exact,1,1159.0,1159.0
age group by urbanization,Micropolitan (Nonmetro),85+ years,exact,1,680.0,680.0
age group by urbanization,Micropolitan (Nonmetro),< 1 year,exact,1,41.0,41.0
age group by urbanization,Micropolitan (Nonmetro),Not Stated,zero,1,0.0,0.0
age group by urbanization,NonCore (Nonmetro),1-4 years,exact,1,49.0,49.0
age group by urbanization,NonCore (Nonmetro),15-24 years,exact,1,174.0,174.0
age group by urbanization,NonCore (Nonmetro),25-34 years,exact,1,206.0,206.0
age group by urbanization,NonCore (Nonmetro),35-44 years,exact,1,283.0,283.0
age group by urbanization,NonCore (Nonmetro),45-54 years,exact,1,402.0,402.0
age group by urbanization,NonCore (Nonmetro),5-14 years,exact,1,103.0,103.0
age group by urbanization,NonCore (Nonmetro),55-64 years,exact,1,767.0,767.0
age group by urbanization,NonCore (Nonmetro),65-74 years,exact,1,985.0,985.0
age group by urbanization,NonCore (Nonmetro),75-84 years,exact,1,790.0,790.0
age group by urbanization,NonCore (Nonmetro),85+ years,exact,1,429.0,429.0
age group by urbanization,NonCore (Nonmetro),< 1 year,exact,1,22.0,22.0
age group by urbanization,NonCore (Nonmetro),Not Stated,zero,1,0.0,0.0
age group by urbanization,Not Available,1-4 years,suppressed_1_9,1,1.0,9.0
age group by urbanization,Not Available,15-24 years,exact,1,20.0,20.0
age group by urbanization,Not Available,25-34 years,exact,1,35.0,35.0
age group by urbanization,Not Available,35-44 years,exact,1,25.0,25.0
age group by urbanization,Not Available,45-54 years,exact,1,40.0,40.0
age group by urbanization,Not Available,5-14 years,exact,1,13.0,13.0
age group by urbanization,Not Available,55-64 years,exact,1,76.0,76.0
age group by urbanization,Not Available,65-74 years,exact,1,122.0,122.0
age group by urbanization,Not Available,75-84 years,exact,1,125.0,125.0
age group by urbanization,Not Available,85+ years,exact,1,89.0,89.0
age group by urbanization,Not Available,< 1 year,suppressed_1_9,1,1.0,9.0
age group by urbanization,Not Available,Not Stated,zero,1,0.0,0.0
age group by urbanization,Small Metro,1-4 years,exact,1,77.0,77.0
age group by urbanization,Small Metro,15-24 years,exact,1,287.0,287.0
age group by urbanization,Small Metro,25-34 years,exact,1,341.0,341.0
age group by urbanization,Small Metro,35-44 years,exact,1,403.0,403.0
age group by urbanization,Small Metro,45-54 years,exact,1,562.0,562.0
age group by urbanization,Small Metro,5-14 years,exact,1,138.0,138.0
age group by urbanization,Small Metro,55-64 years,exact,1,984.0,984.0
age group by urbanization,Small Metro,65-74 years,exact,1,1241.0,1241.0
age group by urbanization,Small Metro,75-84 years,exact,1,1014.0,1014.0
age group by urbanization,Small Metro,85+ years,exact,1,648.0,648.0
age group by urbanization,Small Metro,< 1 year,exact,1,50.0,50.0
age group by urbanization,Small Metro,Not Stated,zero,1,0.0,0.0
